"NYC","PM ","PFS31 ","11/13/2017","11/08/2017","11/14/2017","36","RQ"
"NYC","FS ","FS31  ","11/13/2017","11/15/2017","11/21/2017","36","FS"
"NYC","PM ","PFS31 ","11/13/2017","11/15/2017","11/21/2017","36","RQ"
"NYC","FS ","FS31  ","11/13/2017","11/22/2017","11/28/2017","36","FS"
"NYC","PM ","PFS31 ","11/13/2017","11/22/2017","11/28/2017","36","RQ"
"NYC","FS ","FS31  ","11/13/2017","11/29/2017","12/05/2017","36","FS"
"NYC","PM ","PFS31 ","11/13/2017","11/29/2017","12/05/2017","36","RQ"
"NYC","FS ","FS31  ","11/13/2017","12/06/2017","12/12/2017","36","FS"
"NYC","PM ","PFS31 ","11/13/2017","12/06/2017","12/12/2017","36","RQ"
"NYC","FS ","FS31  ","11/13/2017","12/13/2017","12/19/2017","36","FS"
"NYC","PM ","PFS31 ","11/13/2017","12/13/2017","12/19/2017","36","RQ"
"NYC","FS ","FS31  ","11/13/2017","12/20/2017","12/26/2017","36","FS"
"NYC","PM ","PFS31 ","11/13/2017","12/20/2017","12/26/2017","36","RQ"
"NYC","T  ","C28   ","11/13/2017","11/08/2017","11/14/2017","24","RQ"
"NYC","PT ","PC28  ","11/13/2017","11/08/2017","11/14/2017","24","RQ"
"NYC","T  ","C28   ","11/13/2017","11/15/2017","11/21/2017","24","FS"
"NYC","PT ","PC28  ","11/13/2017","11/15/2017","11/21/2017","24","RQ"
"NYC","T  ","C28   ","11/13/2017","11/22/2017","11/28/2017","24","FS"
"NYC","PT ","PC28  ","11/13/2017","11/22/2017","11/28/2017","24","RQ"
"NYC","T  ","C28   ","11/13/2017","11/29/2017","12/05/2017","24","FS"
"NYC","PT ","PC28  ","11/13/2017","11/29/2017","12/05/2017","24","RQ"
"NYC","T  ","C28   ","11/13/2017","12/06/2017","12/12/2017","24","FS"
"NYC","PT ","PC28  ","11/13/2017","12/06/2017","12/12/2017","24","RQ"
"NYC","T  ","C28   ","11/13/2017","12/13/2017","12/19/2017","24","FS"
"NYC","PT ","PC28  ","11/13/2017","12/13/2017","12/19/2017","24","RQ"
"NYC","T  ","C28   ","11/13/2017","12/20/2017","12/26/2017","24","FS"
"NYC","PT ","PC28  ","11/13/2017","12/20/2017","12/26/2017","24","RQ"
"NYC","D  ","C25   ","11/13/2017","11/08/2017","11/14/2017","23","RQ"
"NYC","PD ","PC25  ","11/13/2017","11/08/2017","11/14/2017","23","RQ"
"NYC","D  ","C25   ","11/13/2017","11/15/2017","11/21/2017","23","RQ"
"NYC","PD ","PC25  ","11/13/2017","11/15/2017","11/21/2017","23","RQ"
"NYC","D  ","C25   ","11/13/2017","11/22/2017","11/28/2017","23","RQ"
"NYC","PD ","PC25  ","11/13/2017","11/22/2017","11/28/2017","23","RQ"
"NYC","D  ","C25   ","11/13/2017","11/29/2017","12/05/2017","23","RQ"
"NYC","PD ","PC25  ","11/13/2017","11/29/2017","12/05/2017","23","RQ"
"NYC","D  ","C25   ","11/13/2017","12/06/2017","12/12/2017","23","FS"
"NYC","PD ","PC25  ","11/13/2017","12/06/2017","12/12/2017","23","RQ"
"NYC","D  ","C25   ","11/13/2017","12/13/2017","12/19/2017","23","FS"
"NYC","PD ","PC25  ","11/13/2017","12/13/2017","12/19/2017","23","RQ"
"NYC","D  ","C25   ","11/13/2017","12/20/2017","12/26/2017","23","FS"
"NYC","PD ","PC25  ","11/13/2017","12/20/2017","12/26/2017","23","RQ"
"NYC","C  ","C22   ","11/13/2017","11/08/2017","11/14/2017","22","RQ"
"NYC","PC ","PC22  ","11/13/2017","11/08/2017","11/14/2017","22","RQ"
"NYC","C  ","C22   ","11/13/2017","11/15/2017","11/21/2017","22","RQ"
"NYC","PC ","PC22  ","11/13/2017","11/15/2017","11/21/2017","22","RQ"
"NYC","C  ","C22   ","11/13/2017","11/22/2017","11/28/2017","22","RQ"
"NYC","PC ","PC22  ","11/13/2017","11/22/2017","11/28/2017","22","RQ"
"NYC","C  ","C22   ","11/13/2017","11/29/2017","12/05/2017","22","FS"
"NYC","PC ","PC22  ","11/13/2017","11/29/2017","12/05/2017","22","RQ"
"NYC","C  ","C22   ","11/13/2017","12/06/2017","12/12/2017","22","FS"
"NYC","PC ","PC22  ","11/13/2017","12/06/2017","12/12/2017","22","RQ"
"NYC","C  ","C22   ","11/13/2017","12/13/2017","12/19/2017","22","FS"
"NYC","PC ","PC22  ","11/13/2017","12/13/2017","12/19/2017","22","RQ"
"NYC","C  ","C22   ","11/13/2017","12/20/2017","12/26/2017","22","FS"
"NYC","PC ","PC22  ","11/13/2017","12/20/2017","12/26/2017","22","RQ"
"MCO","AF ","AF34  ","11/13/2017","11/08/2017","11/14/2017","61","FS"
"MCO","PF ","PAF34 ","11/13/2017","11/08/2017","11/14/2017","61","RQ"
"MCO","AF ","AF34  ","11/13/2017","11/15/2017","11/21/2017","61","RQ"
"MCO","PF ","PAF34 ","11/13/2017","11/15/2017","11/21/2017","61","RQ"
"MCO","AF ","AF34  ","11/13/2017","11/22/2017","11/28/2017","61","RQ"
"MCO","PF ","PAF34 ","11/13/2017","11/22/2017","11/28/2017","61","RQ"
"MCO","AF ","AF34  ","11/13/2017","11/29/2017","12/05/2017","61","FS"
"MCO","PF ","PAF34 ","11/13/2017","11/29/2017","12/05/2017","61","RQ"
"MCO","AF ","AF34  ","11/13/2017","12/06/2017","12/12/2017","61","FS"
"MCO","PF ","PAF34 ","11/13/2017","12/06/2017","12/12/2017","61","RQ"
"MCO","AF ","AF34  ","11/13/2017","12/13/2017","12/19/2017","61","FS"
"MCO","PF ","PAF34 ","11/13/2017","12/13/2017","12/19/2017","61","RQ"
"MCO","AF ","AF34  ","11/13/2017","12/20/2017","12/26/2017","61","FS"
"MCO","PF ","PAF34 ","11/13/2017","12/20/2017","12/26/2017","61","RQ"
"MCO","FS ","FS31  ","11/13/2017","11/08/2017","11/14/2017","35","FS"
"MCO","PM ","PFS31 ","11/13/2017","11/08/2017","11/14/2017","35","RQ"
"MCO","FS ","FS31  ","11/13/2017","11/15/2017","11/21/2017","35","FS"
"MCO","PM ","PFS31 ","11/13/2017","11/15/2017","11/21/2017","35","RQ"
"MCO","FS ","FS31  ","11/13/2017","11/22/2017","11/28/2017","35","FS"
"MCO","PM ","PFS31 ","11/13/2017","11/22/2017","11/28/2017","35","RQ"
"MCO","FS ","FS31  ","11/13/2017","11/29/2017","12/05/2017","35","FS"
"MCO","PM ","PFS31 ","11/13/2017","11/29/2017","12/05/2017","35","RQ"
"MCO","FS ","FS31  ","11/13/2017","12/06/2017","12/12/2017","35","FS"
"MCO","PM ","PFS31 ","11/13/2017","12/06/2017","12/12/2017","35","RQ"
"MCO","FS ","FS31  ","11/13/2017","12/13/2017","12/19/2017","37","FS"
"MCO","PM ","PFS31 ","11/13/2017","12/13/2017","12/19/2017","37","RQ"
"MCO","FS ","FS31  ","11/13/2017","12/20/2017","12/26/2017","38","FS"
"MCO","PM ","PFS31 ","11/13/2017","12/20/2017","12/26/2017","38","RQ"
"MCO","T  ","C28   ","11/13/2017","11/08/2017","11/14/2017","23","FS"
"MCO","PT ","PC28  ","11/13/2017","11/08/2017","11/14/2017","23","RQ"
"MCO","T  ","C28   ","11/13/2017","11/15/2017","11/21/2017","23","FS"
"MCO","PT ","PC28  ","11/13/2017","11/15/2017","11/21/2017","23","RQ"
"MCO","T  ","C28   ","11/13/2017","11/22/2017","11/28/2017","23","FS"
"MCO","PT ","PC28  ","11/13/2017","11/22/2017","11/28/2017","23","RQ"
"MCO","T  ","C28   ","11/13/2017","11/29/2017","12/05/2017","23","FS"
"MCO","PT ","PC28  ","11/13/2017","11/29/2017","12/05/2017","23","RQ"
"MCO","T  ","C28   ","11/13/2017","12/06/2017","12/12/2017","23","FS"
"MCO","PT ","PC28  ","11/13/2017","12/06/2017","12/12/2017","23","RQ"
"MCO","T  ","C28   ","11/13/2017","12/13/2017","12/19/2017","25","FS"
